,tiempo_maximo,intensidad_maxima,intensidad_minima,tiempo_valle,intensidad_valle,sparks_amplitud,TTP,sparks_tiempo_pico50,sp_tau,TTP50,fullWidth,(ΔF/F0)/ΔTmax,fullDuration,width,high,flag
16,16.0,11.866666666666667,9.266666666666667,17.0,9.466666666666667,0.28057553956834524,5.0,12.981815788543015,4.425630740198712,1.9818157885430168,10.0,0.05611510791366905,6.0,19.0,15.0,2.0
17,1.0,12.0,10.823529411764703,6.0,10.294117647058824,0.10869565217391317,1.0,0.5128923117063643,40.34902234983931,0.5128923117063643,5.0,0.10869565217391317,6.0,9.0,17.0,2.0
18,12.0,9.842105263157897,8.368421052631579,13.0,9.31578947368421,0.17610062893081774,8.0,8.887484541340767,18.195420323518672,4.887484541340765,12.0,0.022012578616352217,9.0,14.0,19.0,2.0
19,5.0,10.785714285714288,6.928571428571428,10.0,7.7857142857142865,0.5567010309278353,3.0,3.8910528690482664,15.12570090038406,1.8910528690482657,4.0,0.18556701030927844,8.0,12.0,14.0,2.0
20,8.0,11.307692307692307,8.615384615384615,9.0,8.692307692307693,0.31250000000000017,3.0,6.666162522204272,3.801634251655541,1.6661625222042709,7.0,0.10416666666666673,4.0,13.0,13.0,2.0
21,7.0,12.461538461538463,9.384615384615383,8.0,9.461538461538463,0.3278688524590164,4.0,5.572768183324062,3.6309241177833034,2.5727681833240608,2.0,0.08196721311475409,5.0,19.0,13.0,2.0
22,3.0,10.800000000000002,8.9,6.0,7.8,0.213483146067416,2.0,1.8782846530462387,10.583679274653267,0.8782846530462387,-3.0,0.106741573033708,5.0,10.0,10.0,2.0
23,7.0,13.4,7.0,13.0,8.333333333333334,0.9142857142857144,5.0,4.355570226854091,21.096462175819585,2.3555702268540912,5.0,0.18285714285714288,11.0,18.0,15.0,2.0
24,8.0,10.3125,7.6875,22.0,7.125,0.3414634146341464,5.0,5.756732337810313,47.39908294247089,2.756732337810312,7.0,0.06829268292682927,19.0,25.0,16.0,2.0
25,6.0,12.142857142857144,9.761904761904765,7.0,9.095238095238095,0.2439024390243903,2.0,4.757271060177835,3.460325944686715,0.7572710601778354,6.0,0.12195121951219512,3.0,16.0,21.0,1.0
26,5.0,7.5,7.8181818181818175,7.0,6.7727272727272725,-0.040697674418604564,2.0,3.06194144513198,19.608003085672078,0.06194144513197975,-2.0,-0.020348837209302282,4.0,14.0,22.0,2.0
27,2.0,11.769230769230768,9.846153846153848,5.0,9.384615384615383,0.19531249999999986,2.0,0.9637894868122932,14.896858760630295,0.9637894868122932,4.0,0.09765624999999993,5.0,8.0,13.0,1.0
28,2.0,11.909090909090908,9.727272727272727,5.0,10.0,0.22429906542056074,1.0,1.525253014003511,21.036656649387318,0.525253014003511,2.0,0.22429906542056074,4.0,7.0,11.0,1.0
29,24.0,10.104166666666666,7.927083333333332,25.0,9.3125,0.2746386333771353,6.0,21.22202211068889,12.25635945762457,3.222022110688893,9.0,0.04577310556285589,7.0,28.0,96.0,1.0
30,6.0,11.5,10.15,11.0,9.4,0.13300492610837433,4.0,3.4077009321735328,37.03676768408517,1.4077009321735328,8.0,0.03325123152709358,9.0,13.0,20.0,1.0
