tiempo_maximo,intensidad_maxima,intensidad_minima,tiempo_valle,intensidad_valle,sparks_amplitud,TTP,sparks_tiempo_pico50,TTP50,fullWidth,(ΔF/F0)/ΔTmax,fullDuration,width,high,flag
4.0,6.75,6.0,7.0,5.75,0.125,3.0,3.0320878215837217,2.0320878215837217,5.0,0.0416666666666666,6.0,12.0,12.0,1.0
1.0,39.81818181818182,38.04545454545455,7.0,34.5,0.046594982078853,1.0,0.5056922606572792,0.5056922606572792,9.0,0.046594982078853,7.0,13.0,22.0,1.0
16.0,7.444444444444445,5.962962962962963,17.0,7.037037037037037,0.2484472049689443,13.0,14.092180732042689,11.092180732042689,4.0,0.0191113234591495,14.0,18.0,27.0,1.0
7.0,43.875,16.5,8.0,41.75,1.6590909090909092,7.0,3.002767193284713,3.002767193284713,4.0,0.237012987012987,8.0,10.0,8.0,1.0
7.0,56.66666666666666,48.42857142857142,8.0,53.047619047619065,0.1701081612586038,1.0,6.519616864155688,0.5196168641556893,14.0,0.1701081612586038,2.0,12.0,21.0,1.0
7.0,40.76470588235294,31.411764705882355,15.0,34.588235294117645,0.2977528089887641,1.0,6.532487472357628,0.5324874723576274,6.0,0.2977528089887641,9.0,19.0,17.0,1.0
6.0,44.15384615384615,33.384615384615394,8.0,39.384615384615394,0.3225806451612902,5.0,3.0003583511947447,2.0003583511947447,2.0,0.064516129032258,7.0,10.0,13.0,1.0
3.0,57.77777777777778,48.55555555555557,5.0,49.55555555555557,0.1899313501144162,1.0,2.521709618873086,0.5217096188730861,3.0,0.1899313501144162,3.0,9.0,9.0,1.0
39.0,59.9375,38.625,40.0,51.625,0.5517799352750811,15.0,30.415398943284607,6.415398943284603,7.0,0.0367853290183387,16.0,41.0,16.0,2.0
7.0,6.833333333333332,6.0,9.0,5.888888888888888,0.1388888888888888,5.0,6.073386919765568,4.073386919765567,6.0,0.0277777777777777,7.0,16.0,18.0,1.0
9.0,47.9375,40.125,10.0,45.625,0.1947040498442367,7.0,4.849355090146227,2.8493550901462257,12.0,0.0278148642634623,8.0,13.0,16.0,1.0
2.0,39.46153846153846,32.846153846153854,3.0,34.153846153846146,0.2014051522248242,1.0,1.5229043737801573,0.5229043737801573,3.0,0.2014051522248242,2.0,8.0,13.0,1.0
8.0,34.93103448275862,29.58620689655173,11.0,31.89655172413793,0.1806526806526805,6.0,3.92941992581654,1.92941992581654,16.0,0.03010878010878,9.0,17.0,29.0,1.0
7.0,56.33333333333334,48.4,8.0,44.46666666666667,0.1639118457300276,1.0,6.518955140751144,0.5189551407511441,8.0,0.1639118457300276,2.0,11.0,15.0,1.0
4.0,46.07142857142858,39.0,10.0,38.285714285714285,0.1813186813186814,3.0,2.522617741617041,1.5226177416170406,6.0,0.0604395604395604,9.0,12.0,14.0,1.0
12.0,38.333333333333336,31.83333333333333,13.0,37.083333333333336,0.2041884816753928,4.0,10.587984946458608,2.587984946458608,6.0,0.0510471204188482,5.0,14.0,12.0,1.0
5.0,6.7142857142857135,5.928571428571428,6.0,5.857142857142858,0.1325301204819278,1.0,4.51554674231516,0.5155467423151601,11.0,0.1325301204819278,2.0,16.0,14.0,1.0
8.0,40.5,32.65,11.0,32.1,0.2404287901990812,5.0,5.566182982662046,2.5661829826620464,-2.0,0.0480857580398162,8.0,15.0,20.0,1.0
5.0,6.5294117647058805,6.0588235294117645,8.0,6.0,0.0776699029126212,1.0,4.509347972607734,0.5093479726077339,9.0,0.0776699029126212,4.0,15.0,17.0,1.0
16.0,41.71428571428572,6.380952380952383,20.0,32.8095238095238,5.53731343283582,14.0,9.685265841854168,7.685265841854168,19.0,0.3955223880597014,18.0,22.0,21.0,1.0
7.0,67.47368421052633,33.10526315789474,11.0,32.421052631578945,1.038155802861685,6.0,4.840617582715802,3.840617582715802,10.0,0.1730259671436141,10.0,15.0,19.0,1.0
3.0,42.36363636363637,37.09090909090909,9.0,32.72727272727273,0.142156862745098,2.0,2.3115221723773187,1.3115221723773192,8.0,0.071078431372549,8.0,11.0,22.0,1.0
5.0,81.15789473684211,35.26315789473684,14.0,26.947368421052627,1.301492537313433,2.0,4.3627581404321,1.3627581404321,11.0,0.6507462686567165,11.0,25.0,19.0,1.0
6.0,36.60869565217392,31.26086956521739,9.0,30.695652173913047,0.1710709318497914,1.0,5.519719354523391,0.5197193545233922,3.0,0.1710709318497914,4.0,13.0,23.0,1.0
7.0,37.45454545454545,28.863636363636363,9.0,35.40909090909091,0.2976377952755905,3.0,5.919872731217418,1.919872731217417,20.0,0.0992125984251968,5.0,10.0,22.0,1.0
7.0,65.0625,32.375,10.0,29.875,1.0096525096525095,5.0,4.571708112547486,2.5717081125474857,8.0,0.2019305019305019,8.0,15.0,16.0,1.0
2.0,14.615384615384617,14.307692307692308,7.0,12.923076923076923,0.0215053763440859,1.0,1.5026596246362758,0.502659624636276,7.0,0.0215053763440859,6.0,18.0,13.0,1.0
3.0,15.8125,15.0625,11.0,13.375,0.0497925311203319,1.0,2.506073471902273,0.5060734719022735,5.0,0.0497925311203319,9.0,14.0,16.0,1.0
24.0,18.26086956521739,14.43478260869565,27.0,15.56521739130435,0.2650602409638555,16.0,20.25519491977165,12.255194919771654,18.0,0.0165662650602409,19.0,30.0,23.0,1.0
6.0,23.09090909090909,19.272727272727277,9.0,19.545454545454547,0.1981132075471697,4.0,3.8940893084582746,1.8940893084582744,8.0,0.0495283018867924,7.0,15.0,11.0,2.0
2.0,16.588235294117652,16.294117647058822,9.0,14.411764705882351,0.0180505415162456,1.0,1.5022361657752168,0.5022361657752168,7.0,0.0180505415162456,8.0,14.0,17.0,1.0
13.0,26.8,23.0,14.0,26.3,0.1652173913043478,7.0,10.317877183303333,4.317877183303333,6.0,0.0236024844720496,8.0,17.0,10.0,1.0
